external_gene_name	mmusculus_homolog_associated_gene_name
PPIAP62	
AC036214.1	
AC084291.1	
KSR2	Ksr2
LINC01607	
ANP32BP3	
AC128687.2	
AL139396.1	
VPS26AP1	
AL591212.2	
KANTR	
AC079944.1	
LINC01491	
AC079944.2	
AC025262.2	
SLC10A3	Slc10a3
AL158207.2	
UBTD1	Ubtd1
GNG13	Gng13
FNBP1	Fnbp1
MARCH5	March5
DACT3	Dact3
AL591212.1	
OR7A11P	
AL450384.2	
ACTG1P10	
PPP6R2	Ppp6r2
KSR1	Ksr1
AC007278.1	
AC073864.1	
AC078878.1	
AC011228.1	
ASS1P7	
LINC02372	
SERPINA7	Serpina7
LINC00501	
AC004972.1	
RPL31P35	
AC117465.1	
AC005008.1	
AC011228.2	
AC005008.2	
CACNB2	Cacnb2
SYT1	Syt1
AP1M2	Ap1m2
AL023806.2	
ZNF250	Zfp647
RANBP10	Ranbp10
AC026355.3	
VIM-AS1	
SLC9A4	Slc9a4
LINC00578	
AC012050.1	
DACT3-AS1	
AC004866.1	
AC023905.1	
AC004866.2	
AC078878.2	
EPM2A	Epm2a
AL133415.1	
EIF4EP4	
SUMO2P10	
HSPE1P20	
PRKD2	Prkd2
SEC13P1	
AC092078.3	
TMPPE	Tmppe
AC013553.1	
AL391416.1	
AC026355.2	
UBAP1L	Ubap1l
AC026355.1	
ZSCAN20	Zscan20
AL606495.2	
ME1	Me1
PANK4	
AC036214.2	
AC009686.1	
AC074351.1	
ZDHHC13	Zdhhc13
ABI3	Abi3
AC009686.2	
OR7A15P	
SEC61G	Sec61g
CCL5	
RPL23AP70	
AL121594.1	1110008L16Rik
AC036214.3	
TPRG1	Tprg
OR7C2	Olfr1356
KIAA0391	1110008L16Rik
AC005552.1	
AL512661.1	
TPD52	Tpd52
ZNF70P1	
AC022903.1	
HTATSF1P1	
PWWP3B	Pwwp3b
AC027088.1	
AC115285.1	
AL590385.2	
HSPA6	
POLA1	Pola1
AC015849.12	
FCGR3A	Fcgr4
AC092919.2	
AL606495.1	
AC092919.1	
SKOR1	Skor1
AC131159.1	
GNGT2	Gngt2
COL28A1	Col28a1
RFC5	Rfc5
TNIK	Tnik
HAMP	Hamp
HAMP	Hamp2
TAC3	Tac2
AL731563.1	
DDX50	Ddx50
RPS4XP10	
AC108449.2	
FOXN2	Foxn2
TMEM50B	Tmem50b
HMBOX1	Hmbox1
TPRG1-AS2	
TPRG1-AS1	
AC009319.1	
AL133395.1	
PTMAP1	
AL136141.1	
TIGD3	Tigd3
ATAT1	
LINC02405	
AC015688.4	
VASH2	Vash2
AC119427.1	
PROK2	Prok2
AC092106.2	
LAD1	Lad1
AC010530.1	
AC009292.2	
AC016968.1	
AC009292.1	
LINC01471	
AC069366.1	
GOT2P2	
AC069366.2	
RPL13AP	
AC015688.6	
UBD	
AC097359.1	
AC096970.1	
VPS52	
ITM2BP1	
AC097359.3	
AL022310.1	
DDX43P3	
AC008163.1	
OR2H2	
AL590385.1	
AL023806.1	
LGALS9	
OR2H5P	
AL031119.1	
FCGR2C	Fcgr3
FCGR2C	Fcgr2b
DPRXP3	
ANKRD2	Ankrd2
AC027288.2	
SEPT7P1	
TMEM183AP1	
AC079949.2	
AC090709.1	
AC079949.6	
AL049776.1	
AL022324.1	
AC079949.1	
RPL9P3	
AC027288.3	
AL133271.1	
MRPL57P8	
AL022324.2	
NAP1L4P2	
GABBR1	
PPIAP43	
SLC25A45	Slc25a45
AC079949.7	
PSMA6	Psma6
AC079949.4	
HCG25	
PDCD7	Pdcd7
LINC02376	
TDRD1	Tdrd1
AL513128.2	
AC073913.1	
AL513128.1	
AL513128.3	
LINC02375	
GPR107	Gpr107
SPAG6	Spag6l
SPAG6	Spag6
AP001351.1	
AC073913.2	
DYRK1B	Dyrk1b
AC048347.1	
ARHGAP42	Arhgap42
IFNGR2	Ifngr2
AC068787.4	
AC068787.1	
AC068787.3	
AC068787.2	
SERPINA7P1	
AC119427.2	
AC068787.5	
AL590808.1	
KLHL13	Klhl13
AC025252.1	
AC131159.2	
AC025252.2	
RPS23P10	
WSB2	Wsb2
AL731563.3	
LINC02411	
EPB41L1	Epb41l1
FCGR2A	Fcgr3
FCGR2A	Fcgr2b
TNNT2	Tnnt2
EEF1B2P3	
AC090857.2	
AC027288.1	
AC090707.1	
NOP56P3	
NELL1	Nell1
AL513008.1	
AL353593.3	
FSBP	Rad54b
AC097359.2	
AL670729.3	
CCND3	Ccnd3
FO704657.1	
AL691432.1	
GOLGA4	Golga4
OBSCN-AS1	
AC005383.1	
AURKAP2	
LINC01435	
AC025160.1	
CASTOR3	Castor2
AC093012.1	
SLC35E2B	Slc35e2
REXO1L3P	
VWA2	Vwa2
REXO1L1P	
AC087894.2	
PUS7L	Pus7l
REXO1L12P	
AC087894.1	
REXO1L11P	
LINC02393	
AL353593.1	
RAD54B	Rad54b
REXO1L10P	
AC132938.5	
REXO1L9P	
CCDC191	Ccdc191
LINC01088	
REXO1L2P	
KRT128P	
IL17C	Il17c
KRT2	Krt2
AP000944.1	
LINC00508	
RPL22P10	
HTN3	
LINC00507	
AC232323.1	
AC092106.1	
REXO1L4P	
HMBOX1-IT1	
REXO1L5P	
AC006017.1	
REXO1L6P	
TDP2	Tdp2
AOC2	Aoc2
GALNT11	Galnt11
AL592463.1	
KRT1	Krt1
AC100801.1	
AL596087.1	
LINC02034	
AL596087.2	
AC232323.2	
LINC02015	
AC114755.3	
AC100801.2	
AL596087.3	
MYO1A	Myo1a
AC114755.4	
FAM78B	Fam78b
AC114755.1	
AC055716.3	
AC007953.1	
KRT77	Krt77
RACGAP1P	
PRSS35	Prss35
NAA11	
AC008127.1	
AC007953.2	
AC008127.2	
DBX2	Dbx2
AC114755.2	
AL160286.1	
CDC16	Cdc16
SBF1	Sbf1
AL626787.1	
AL160286.2	
LINC01980	
YWHAH	Ywhah
AOC3	Aoc3
AC128687.3	
AL445644.1	
AC023194.3	
AC092896.2	
AC132186.1	
TDRD5	Tdrd5
AL161630.1	
AC023194.2	
LINC02441	
KRT126P	
AC023194.1	
AC140121.1	
ZDHHC23	Zdhhc23
FAM177A1	1700047I17Rik2
FAM177A1	Fam177a
KRT125P	
PSKH2	
AC055716.2	
C14orf132	D430019H16Rik
AC055716.1	
APCDD1L-DT	
BTBD10P1	
Z82190.2	Depdc5
LINC02369	
AC117457.1	Kcnmb2
KRT127P	
C22orf24	
ARL2BPP2	
PPIAP75	
ATP6V0D2	Atp6v0d2
AC110992.1	
KRT76	Krt76
KCNMB2-AS1	
AC114755.5	
TPRA1	Tpra1
AC107016.2	
Z82190.1	
LINC01014	
KRT3	
AC064874.1	
GLIPR2	Glipr2
LINC02368	
TMSB10P1	
AC138969.3	
AC128687.1	
AGAP1-IT1	
KCNMB2	Kcnmb2
QTRT2	Qtrt2
AL050327.1	
RMC1	Rmc1
AGAP1	Agap1
CTNNA1P1	
AC061709.2	
AK3P4	
CYBA	Cyba
AC008628.2	
KRT4	Krt4
RPL7AP3	
AC021028.1	
AC008628.1	
TSPAN14	Tspan14
ALG11	Alg11
ZNF74	
RGPD3	
PPP2R3C	Ppp2r3c
AC061709.3	
AC023595.1	
AC090424.1	
TMEM132C	Tmem132c
LINC01981	
LINC01967	
ITGAL	Itgal
UTP14C	Utp14b
UTP14C	Utp14a
BDKRB1	Bdkrb1
AC010320.5	
SLC15A4	Slc15a4
TJAP1	Tjap1
ELP1	Elp1
AC006020.1	
CKS1BP1	
NMRAL1	Nmral1
AL355102.2	
PPP1R12A	Ppp1r12a
AC015983.2	
AL355102.4	
AC117453.1	
AL355102.1	
AL355102.5	
PLGLA	
BDKRB2	Bdkrb2
MAPK15	Mapk15
AC009248.3	
AC108704.2	
AOC4P	
TUBA3C	Tuba3b
TUBA3C	Tuba3a
CCIN	Ccin
SLC1A6	Slc1a6
AC131238.1	
ANK1	Ank1
VSIG10	Vsig10
AC116353.3	
AL355102.3	
AC116353.2	
NPC1	Npc1
AC115622.1	
LINC00671	
AC084121.10	
AC110751.1	
AL139327.1	
PRR23D2	
AC105942.1	
AC010320.3	
AC010320.4	
CSMD3	Csmd3
ZNF610	Zfy2
ZNF610	Zfy1
ANO6	Ano6
GCNA	
AC105219.2	
PSPC1P1	
MARK2P9	
AL161652.1	
AL139327.2	
HOGA1	Hoga1
ZMAT3	Zmat3
FN3KRP	Fn3krp
AC095033.1	
ALG14	Alg14
WDR12	Wdr12
TCEA1P2	
IQANK1	Iqank1
TP63	Trp63
TNFSF4	Tnfsf4
AL445648.1	
AL121895.1	
ZNF766	
ANKRD26P3	
AC105219.4	
EIF4A2P2	
FAM83H	Fam83h
MRPL3P1	
MORN4	Morn4
FAM149B1	Fam149b
AL645568.3	
AL645568.2	
HMOX2	Hmox2
CCDC105	Ccdc105
ZNF407	Zfp407
PRDX6	Prdx6b
PRDX6	Prdx6
AC004982.1	
MRPS28	Mrps28
AC076966.1	
ZNF480	Zfy2
ZNF480	Zfy1
CLTA	Clta
PLEKHH3	Plekhh3
PI4K2A	Pi4k2a
AC105265.2	
UBE2Q2P9	
PEBP1	Pbp2
AC112219.2	
LINC00870	
IDE	Ide
PATE2	Pate2
AL645568.1	
MIOS	Mios
MAGED1	Maged1
AC105265.1	
AC105265.4	
AL031775.1	
CCP110	Ccp110
C6orf62	BC005537
AC112219.1	
AC036214.4	
AL132642.1	
PATE3	Pate3
LINC00877	
ASB2	Asb2
AC116348.3	
AL355315.1	Pi4k2a
AC010900.2	
LINC00909	
SCARF2	Scarf2
AC116348.1	
PATE4	Pate4
AC116348.2	
C10orf62	4933411K16Rik
AC024361.3	
CWC25	
AC084121.1	
DEFB107A	Defb13
AP000842.3	
LINC02322	
AC122136.1	
AC093382.1	
CD55	Cd55b
CD55	Cd55
CLIC4	
DEFB105A	Defb35
DEFB105A	Defb12
AC004982.2	
AL031775.2	
AC084035.1	
ACOT13	Acot13
AC016394.1	
PTGES3P5	
GNS	Gns
AL353740.1	
AC138969.1	
PUS3	Pus3
LINC02661	
DNAJC9	Dnajc9
R3HDM2P1	
AC105383.1	
MAPKAPK5P1	
MMP23A	
PHB2P1	
AC007731.1	
BTF3P15	
KRT18P5	
AC009248.2	
AL390123.1	
AC009248.1	
KIF11	Kif11
PCDHA13	Pcdha12
PIK3CA	Pik3ca
KLHL22	Klhl22
XIAPP1	
PLEKHA8P1	
HYLS1	Hyls1
AL583804.1	
AL138807.1	
RPL21P91	
AC105265.3	
ATP9A	Atp9a
AC015849.9	
ESF1	Esf1
GPRACR	
ECD	Ecd
TARS2	Tars2
CXCR3	Cxcr3
FMO7P	
CTSO	
NCS1	Ncs1
AL513328.1	
LINC01675	
MUSK	Musk
BX276092.7	
DEFB106A	
CBX5	Cbx5
RDH12	Rdh12
HMGB3P24	
LRRC37A9P	
GNE	Gne
AC090857.1	
RPL11P4	
AC099730.1	
HES5	
PCDHA9	Pcdha7
PCDHA9	Pcdha8
AC093635.1	
EEF1A1P5	
EIF2S2P3	
PKD1P1	
ISX	Isx
ZFC3H1	Zfc3h1
ZFYVE26	Zfyve26
PCDHA12	
AC096576.5	
HHEX	
AC210756.1	
AC100860.1	
AC007731.4	
GNRHR2P1	
KCNIP4	
SIX6	Six6
AC013267.2	
LINC00421	
COPZ1	Copz1
DNAJC27	Dnajc27
AC096576.4	
SH2D4B	Sh2d4b
SALL4P7	
AL139246.9	
AC015983.1	
AL049874.3	
LINC00973	
C17orf98	
AC091212.1	
LGI4	Lgi4
C14orf39	4930447C04Rik
ACTG1P13	
AC107297.1	
STK39	Stk39
AC093726.2	
AC078828.1	
AC093726.1	
AC107029.1	
AC005609.3	
PAXIP1	Paxip1
PCDHAC1	Pcdhac1
AC107029.2	
AC134508.2	
AC134508.1	
LINC02655	
RYBP	Rybp
RADX	Radx
AC013267.1	
DNAJC27-AS1	
RPS7P9	
AC027673.1	
PHGDH	Phgdh
LRRFIP1P1	
AC104435.2	
AL049874.4	
KCNMB3	Kcnmb3
TNFRSF14-AS1	
AL392103.1	
RBM8B	
PCDHA14	
EXOC6	Exoc6
AL160396.2	
PCDHA1	Pcdha1
ARL4AP1	
AL592430.2	
UNC13B	Unc13b
TNFRSF14	
AL049569.1	
AC067940.1	
HMCN2	Hmcn2
ANK3	Ank3
ATP13A2	Atp13a2
TMEM19	Tmem19
FXYD7	Fxyd7
PCDHAC2	Pcdhac2
CLPX	Clpx
TLE5	Aes
TMEM56-RWDD3	
AC008764.2	
AC084128.1	
AC020907.5	
AC024075.3	
AC020907.2	
AP000842.1	
MED26	Med26
DDX25	Ddx25
AC073612.1	Thap2
RWDD3	Rwdd3
THAP2	
FXYD1	Fxyd1
MTCYBP42	
FARSBP1	
ZNF16	
AC010422.7	
AC010422.8	Dhps
AC073072.2	
AC104435.1	
WDR83OS	Wdr83os
CFAP70	Cfap70
RPS2P5	
AC011601.1	
WARS2P1	
PCDHA2	Pcdha2
AC097369.3	
USP19	Usp19
AC008764.9	
TAOK3	Taok3
RPA2P2	
AC008764.8	
RPS6KA2-AS1	
AL096706.1	
AC010422.5	Man2b1
AC008764.1	Med26
AL023775.2	
PCDHA4	Gm42416
PCDHA4	Pcdha4
PCDHA4	Pcdha11
RAB21	Rab21
RAMACL	Gm10767
RAMACL	Ramac
AC092802.1	
LRP5L	Lrp5
AL023775.1	
AC008764.5	
WDR83	Wdr83
AC091144.1	
C19orf44	1700030K09Rik
RPL10P18	
AC092802.2	
RNASET2	Rnaset2b
RNASET2	Rnaset2a
RNASET2	Gm49673
RNASET2	Gm49721
AC134050.1	
SHQ1	Shq1
PAXIP1-AS2	
AL606807.1	
AC005609.4	
TMEM56	Tmem56
PCDHA8	Pcdha6
COL8A1	Col8a1
ATG2B	Atg2b
AC005609.5	
AVPI1	Avpi1
AC089984.1	
SEMA6A-AS1	
RASGEF1A	Rasgef1a
AL049779.3	
AC089984.3	
PCDHA10	Pcdha9
DEFB104A	Defb22
LRTOMT	Tomt
RPL21P9	
CASP14	Casp14
AC016394.2	
SEMA6A	Sema6a
AL049779.2	
AC092802.3	
DNAJC9-AS1	
NFE2	Nfe2
AC073569.2	
CCNQP3	
MRPS16	Mrps16
PARP4P2	
AC073569.3	
AC010359.2	
AL356259.1	
PAWR	Pawr
SLC25A15P2	
HAX1	Hax1
AC023593.1	
AC010157.1	
MCM2	Mcm2
AC093689.2	
NRG3	Nrg3
HNRNPA1	Hnrnpa1
NUDT13	Nudt13
TMEM169	Tmem169
PCDHA7	Pcdha7
PCDHA7	Pcdha8
AC118653.2	
AC011773.4	
MYL6P5	
RNF122	Rnf122
AL391597.1	
PCDHA3	Pcdha3
AC008764.3	
BX470209.1	
AC008764.7	
PPP1R12A-AS1	
AC099850.3	
BX470209.2	
AC073127.1	
AC010223.1	
AC099850.2	
AC073569.1	
SLC39A11	
PCDHA11	Pcdha11
SMG8	Smg8
FBXL13	Fbxl13
SMIM7	Smim7
AC068707.1	
LINC02633	
DUSP26	Dusp26
AC005944.1	
MAN2B1	Man2b1
SCRIB	Scrib
AL161629.1	
ARX	Arx
PECR	Pecr
PRR11	Prr11
AFAP1L2	Afap1l2
AC240577.1	
CLIC1	
AF279873.2	
AF279873.1	
AC005609.1	
AF279873.3	
E2F5	E2f5
PCDHA6	Pcdha6
ANKRD45	Ankrd45
AC009268.3	
BUD31P1	
AVEN	Aven
AC010157.2	
NRG3-AS1	
VENTXP5	
FXYD4	Fxyd4
AP000842.2	
AF279873.4	
SLC9C2	
Z97055.2	
SEMA6A-AS2	
MREG	Mreg
RPS6KA2-IT1	
GSKIP	Gskip
AC009268.1	
AL159163.1	Rnaset2b
AL159163.1	Rnaset2a
AL159163.1	Gm49673
AL159163.1	Gm49721
RPS14P8	
CHRM5	Chrm5
AC026367.1	
SPDYE22P	
RPS6KA2	Rps6ka2
TOMM7	Tomm7
AC009268.2	
SUDS3	Suds3
PCDHA5	Gm37388
PCDHA5	Pcdha5
CHODL	Chodl
NSD2	Nsd2
CYCSP32	
AL049569.2	
AC005609.2	
AL139142.1	
DENND3	Dennd3
MFAP2	Mfap2
SEC24D	Sec24d
TPTE2	Tpte
AC087855.2	
AL139142.2	Ankrd45
AC097527.1	
TEX50	Tex50
RPL10AP3	
AC011330.2	
AC090993.1	
AC241520.1	
AC105227.4	
AC005682.2	
AC055788.2	
CKMT1B	Ckmt1
AC087855.1	
AC108868.2	
AC026367.3	
ACTG1P24	
AC024996.1	
AC026367.2	
CD8B2	Cd8b1
AL133384.2	
RBIS	1810022K09Rik
AC093278.1	
LINC02460	
AP002490.1	
RPL30P16	
YBX1P5	
CXCR6	Cxcr6
RPL17P37	
AP000812.4	Tomt
AC107890.1	
LINC02423	
AC113133.1	
ZNF366	Zfp366
LINC02440	
KRT79	Krt79
AC108868.1	
AC027702.1	
LINC02439	
FYCO1	Fyco1
KIAA0753	Gm43951
KIAA0753	4933427D14Rik
RPL35AP22	
NUMA1	Numa1
IL13RA1	Il13ra1
AL359853.3	
AC087863.1	
G6PC	G6pc
AC093278.2	
FAM163A	Fam163a
LINC02056	
AC011475.1	
AC107016.1	
ZNF639	Zfp639
AL160272.1	
VPS26B	Vps26b
AL359853.1	
EEF1A1P12	
DDAH2	
RPL10P16	
AL359853.2	
KRT78	Krt78
C16orf70	D230025D16Rik
AL160272.2	
AC063979.1	
AC063979.2	
DHPS	Dhps
AL354754.1	
CCDC163	
AL390783.1	
SCAT2	
KCNJ15	Kcnj15
TLR4	Tlr4
RPL7P22	
AC078778.1	
AF130417.1	
ANO7	Ano7
AC104370.1	
AL450384.1	
SLC7A13	Slc7a13
AC108925.1	
XPNPEP1	Xpnpep1
CASC11	
MGAT3-AS1	
BMS1P9	
RPL7P41	
MGAT3	Mgat3
AC011330.1	
AC022467.1	
FEZF1-AS1	
FBN1	Fbn1
AP001775.2	
MYC	Myc
PLEKHA2	Plekha2
ANGEL2	Angel2
TXNDC17	Txndc17
FEZF1	Fezf1
NCAPD3	Ncapd3
AC011773.1	
PPIAP19	
AC040970.1	
AL137025.1	
STRC	Strc
FPGS	Fpgs
MIR4290HG	
TTC26	Ttc26
IL6RP1	
PSMD12P	
AL161629.2	
LAPTM4BP2	
AL353649.1	
DNA2	Dna2
OR7E31P	
AC004706.3	
SRRM4	Srrm4
ABLIM1	Ablim1
FAM90A1	Fam90a1a
FAM90A1	Fam90a1b
MED31	Med31
HNRNPF	Hnrnpf
ABCA2	Abca2
AC108863.1	
AP001425.1	
AL391280.1	
SPATA20P1	
AC002504.1	
AQP7P4	
AC112778.1	
DSCR8	
PPP4R2	
RPP40P1	
AL049874.2	
AC087885.1	
TOR1AIP2	Tor1aip2
AL591379.1	
AC084361.1	
LRRC17	Lrrc17
SNHG26	
AC007823.1	
CERS6	Cers6
AC084880.4	
B3GNT9	B3gnt9
RMDN1	Rmdn1
AL160274.1	
IL7R	Il7r
OR1I1	Olfr1357
AC084880.3	
HSPB8	Hspb8
UPF3A	Upf3a
NEK3	Nek3
ASB8	Asb8
AC105227.3	
AQP7P1	
FAM180B	
AC008134.1	
FTH1P23	
BMS1P10	
C1QTNF4	C1qtnf4
SKA1	
OR7E116P	
AC084880.1	
IL16	Il16
LINC01508	
EBLN2	
AC084880.2	
NFE4	
AC005682.1	
GXYLT2	Gxylt2
AC004948.1	
LINC00934	
AL845321.1	
AL450326.1	
RPL12P10	
ALG1L10P	
AC010653.1	
SPC25	Spc25
AC012519.1	
RPS17P2	
DSCR10	
SBNO2	
LINC02214	
LINC01501	
HTRA4	Htra4
AP001434.1	
AC010267.1	
CADPS	
MARK2P15	
PCDH10	Pcdh10
LINC02650	
AC069540.2	
AC069540.1	
AC013759.1	
AL390786.1	
AC010422.3	Man2b1
MAPK4	
AL591438.1	
RPL12P45	
HMGN2P8	
BX276092.9	4933412E24Rik
BX276092.9	Gm4779
BX276092.9	8030474K03Rik
ZMYM1	Zmym1
AC002070.1	
PLBD2	Plbd2
AC003956.1	
SYDE1	Syde1
PRKAB1	Prkab1
NOSTRIN	Nostrin
RUNX3	Runx3
RPL26P29	
KLHL20	Klhl20
GLB1L2	Glb1l2
ASS1	Ass1
TOR1AIP1	Tor1aip1
AC022467.2	
COQ10B	Coq10b
AC097263.1	
AC121342.1	
GBA	
MAGEB18	Mageb18
AL049874.1	
SALRNA1	
RPS5P3	
AL133264.2	
AL445471.1	
AC130307.1	
BX276092.4	
AL133264.1	
ANO5	Ano5
LINC00891	
AC129850.1	
CXorf49	4933412E24Rik
CXorf49	Gm4779
CXorf49	8030474K03Rik
AP001775.1	
MAGEB6B	Mageb1
MAGEB6B	Gm8914
MAGEB6B	Mageb2
MAGEB6B	Gm5072
MAGEB6B	Mageb3
SULT4A1	Sult4a1
PTP4A2P2	
AC005297.1	
CTNNAL1	Ctnnal1
SLC8B1	Slc8b1
ILVBL	Ilvbl
MAGEB6	Mageb1
MAGEB6	Gm8914
MAGEB6	Mageb2
MAGEB6	Gm5072
MAGEB6	Mageb3
JAM3	Jam3
AL139082.1	
AL445471.2	
Z99755.1	
AC112204.3	
Z99755.2	
AL050344.2	
NEK5	Nek5
LINC01399	
AL050344.1	
BX248409.1	
FBXO30	Fbxo30
BX276092.2	
BX276092.6	
TMEM233	Tmem233
AC015819.2	
AL121994.1	
BX276092.8	
AC108052.1	
AL023806.4	
CCDC60	Ccdc60
AC105252.1	
AC015819.1	
AC074029.1	
AL023806.3	
AL031432.1	
CCSER1	Ccser1
AC074029.3	
AC015819.3	
AC074029.2	
AC015819.4	
SHPRH	Shprh
PHBP18	
AC011330.3	
BX276092.5	
DDR1	
SPAG11A	Spag11b
TPT1P9	
CXorf49B	4933412E24Rik
CXorf49B	Gm4779
CXorf49B	8030474K03Rik
PDIA3P2	
AL355592.1	
AC107886.1	
AC008764.10	
CATSPER2	Catsper2
AC107882.1	
AC008764.6	
AC116534.1	
LINC02578	
SLC35E1	Slc35e1
AC093283.1	
ZADH2	Zadh2
SPATA2L	Spata2l
CAPN10	Capn10
LINC02122	
AP000302.1	
LINC01335	
SIX1	Six1
LINC01331	
BX276092.1	
TUBB4BP6	
LINC01332	
LINC01333	
SLC9A2	Slc9a2
DNAJC28	Dnajc28
MFN1	Mfn1
AC093534.1	
AC093534.2	
AC004054.1	
RPL35AP15	
AC093729.1	
FMO8P	
AC093295.1	
AC074124.1	
AC069222.1	
LINC00992	
TMSB4XP8	
AL358613.1	
ABITRAM	Abitram
AC008764.4	
CLCP2	
AC114322.1	
AC079380.1	
ZCCHC12	Zcchc18
ZCCHC12	Zcchc12
GHITM	Ghitm
CCDC197	
RNF128	Rnf128
AC006971.1	
AL358613.2	
PRKCG	Prkcg
CYP26C1	Cyp26c1
AC126696.3	
RPL7L1P4	
WWP1	Wwp1
LINC02208	
AL591438.2	
CYP26A1	Cyp26a1
AL772155.3	
AC126696.1	
ATXN1L	Atxn1l
AL772155.2	
AL772155.1	
FMO9P	
CCR10	Ccr10
AL133384.1	
TAF9BP2	
AC024075.2	
RPL39P31	
AC100793.2	
AC024075.1	
TM2D2	Tm2d2
AC010653.2	
AL353708.3	
CHERP	Cherp
AC100793.3	
PODXL2	Podxl2
FAM160B1	Fam160b1
CNTNAP1	Cntnap1
LINC02449	
ACTN1	Actn1
LINC02148	
AC103858.3	
LINC02147	
FAM86FP	
IST1	Ist1
AL358613.3	
AL603756.1	
STARD5	Stard5
CCDC75P1	
CERNA2	
NEMP1	Nemp1
C10orf99	2610528A11Rik
AC006965.1	
ATPAF2	Atpaf2
PRR36	Prr36
LINC01285	
PLD1	Pld1
LARP1B	Larp1b
MYO5BP3	
CDK2AP2P3	
AC010336.3	
PTGER4P3	
LINC00937	
ABTB1	Abtb1
DDX24	Ddx24
GLCCI1	Glcci1
AC103858.1	
IRAK4	Irak4
AC011676.5	
PDZK1	Pdzk1
AC011676.1	
EFCAB14P1	
AP003068.3	
AC011676.3	
ZNHIT2	Znhit2
AL590434.1	
AC092865.3	
AL772284.1	
ENPP7P5	
LINC01288	
AP003068.4	
SLC45A4	Slc45a4
AC009220.2	
AC092745.1	
AC087343.1	
AC092745.5	
AL031291.1	
AC099685.1	
MTCYBP45	
AC092745.3	
AC103760.1	
AC092745.4	
LYPLA2P2	
FAM126A	Fam126a
MFSD9	Mfsd9
AC092865.4	
NTAN1P2	
RPS3AP43	
G6PC2	G6pc2
AC092745.2	
AC145207.4	
SLC2A3P4	
MYADML2	Myadml2
RPL15P13	
PEBP1P1	
RPL23AP10	
AC145207.1	
LRRC8E	Lrrc8e
AK7	Ak7
FAM3A	Fam3a
TRUB1	Trub1
PSMC6	Psmc6
AC006042.2	
AC110774.1	
CCNB2P1	
PYCR1	Pycr1
KRT19P6	
LPAR1	Lpar1
AC093810.1	
AC006042.3	
LINC02626	
PMPCAP1	
AC097520.1	
PIP4K2A	Pip4k2a
AC010336.1	
AC097520.2	
CERS6-AS1	
PSMD10P3	
AC087163.1	
UMAD1	Umad1
UMAD1	Gm45062
DRC3	Drc3
CALR3	Calr3
TMEM30CP	
NTAN1P1	
ATRNL1	Atrnl1
AC007161.1	
AC018693.1	
ASS1P2	
CMSS1	Cmss1
AC007161.3	
DHX57	Dhx57
AC092802.4	
RPA3	Rpa3
LINC01760	
IL17RB	Il17rb
CEP164	Cep164
LINC01650	
AC011676.2	
AC114311.1	
CCT5P1	
RNF115	Rnf115
LINC02215	
LINC02216	
AL445218.1	
FEM1C	Fem1c
AL356599.1	
AC093206.1	
LINC01761	
NPDC1	Npdc1
GPR35	Gpr35
AC022254.1	
FUBP3	Fubp3
DTWD2	Dtwd2
LINC00350	
AC007620.2	
AC135628.1	
AC007620.3	
MRPS31P2	
LINC01711	
COPS7A	Cops7a
GNB4	Gnb4
OTUB2	Otub2
ESRRAP1	
POLR3C	Polr3c
CASC4P1	
AC006042.4	
AC007161.2	
GK2	Gk2
TRADD	Tradd
PTMAP2	
CILP	Cilp
LINC02607	
MVD	Mvd
DGUOK	Dguok
C9orf139	
CRTAP	Crtap
AL592430.1	
AC068213.1	
AL807752.6	
AC112204.1	
KCNG4	Kcng4
TBC1D15	Tbc1d15
AC005297.2	
LONRF3	Lonrf3
AC012467.2	
SALL4	Sall4
AC012572.2	
AL683887.1	
FUT7	Fut7
AC010551.3	
AC208322.1	
RHOG	Rhog
SCRN3	Scrn3
FILIP1L	Filip1l
CAVIN4	Cavin4
AL390318.1	
RBM6	Rbm6
ACTG1P19	
SYVN1	Syvn1
AC099566.1	
MARVELD1	Marveld1
AC016042.1	
AL162395.1	
AC112211.1	
SNRPGP20	
RPL7P38	
FMO10P	
LINC01429	
AC079203.1	
WFDC1	Wfdc1
YTHDC1	
EMC7	Emc7
AC025262.1	
CD160	Cd160
GFRA1	Gfra1
PARP16	Parp16
PDZRN3-AS1	
ZNF252P-AS1	
AF235103.1	
PDZRN3	Pdzrn3
TMED10P1	
IL4R	Il4ra
ZNF252P	
LNCPRESS2	
KRT18	Krt18
ASB18	Asb18
AC010551.2	
GAPDHP26	
MAGEB5	Mageb5
MAGEB5	Gm14781
DGUOK-AS1	
AC010551.1	
DUSP12P1	
AC087163.3	
AC129803.1	
AL161631.1	
MPHOSPH8	Mphosph8
AC087163.2	
PLPPR1	Plppr1
TMEM212-IT1	
VTI1BP1	
TMEM212-AS1	
TMEM212	Tmem212
GBX2	Gbx2
AC012470.1	
AC010226.1	
MTCH2	Mtch2
CCDC172	Ccdc172
TMED7	Tmed7
AC020699.1	
AF235103.2	
AC110800.1	
AC019068.1	
GRID2	Grid2
ATXN3	
RPL4P2	
TMED7-TICAM2	Tmed7
SNRPGP6	
RNF214	Rnf214
AC121334.4	
HMGB3P8	
DDX21	Ddx21
KRT8	Krt8
CIT	Cit
PNLIPRP3	
AC121334.1	
AL022324.3	
GDPD1	Gdpd1
AL008721.1	
DISP3	Disp3
GTF3C5	Gtf3c5
